Dow Jones Industrial Average ,,,,
,,,,
Company Name,Stock Exchange,Ticker Symbol,Sector,Weighting %
3M Co.,NYSE,MMM,Diversified Industrials,6.54%
American Express Co.,NYSE,AXP,Consumer Finance,2.76%
Apple Computer,NASDAQ NMS,AAPL,Electronic Equipment,4.70%
Boeing Co.,NYSE,BA,Aerospace/Defense Products & Services,7.83%
Caterpillar Inc.,NYSE,CAT,Commercial Vehicles & Trucks,3.82%
Chevron Corp.,NYSE,CVX,Integrated Oil & Gas,3.58%
"Cisco Systems, Inc",NASDAQ NMS,CSCO?,Networking & Communication,1.02%
Coca-Cola Co.,NYSE,KO,Soft Drinks,1.38%
E.I. DuPont de Nemours & Co.,NYSE,DD,Commodity Chemicals,2.15%
Exxon Mobil Corp.,NYSE,XOM,Integrated Oil & Gas,2.48%
General Electric Co.,NYSE,GE,Diversified Industrials,0.74%
Goldman Sachs Group Inc ,NYSE,GS,Investment Brokerage - National,7.44%
Home Depot Inc.,NYSE,HD,Home Improvement Retailers,5.02%
Intel Corp.,NASDAQ NMS,INTC,Semiconductors,1.20%
International Business Machines Corp.,NYSE,IBM,Computer Services,4.44%
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,4.03%
JPMorgan Chase & Co.,NYSE,JPM,Banks,2.94%
McDonald's Corp.,NYSE,MCD,Restaurants & Bars,4.80%
Merck & Co. Inc.,NYSE,MRK,Pharmaceuticals,1.95%
Microsoft Corp.,NASDAQ NMS,MSFT,Software,2.30%
NIKE Inc,NYSE,NKE,Textile - Apparel Footwear & Accessories,1.58%
Pfizer Inc.,NYSE,PFE,Pharmaceuticals,1.09%
Procter & Gamble Co.,NYSE,PG,Nondurable Household Products,2.78%
"The Travelers Companies, Inc.",NYSE,TRV,Property & Casualty Insurance,3.76%
United Technologies Corp.,NYSE,UTX,Aerospace,3.57%
UnitedHealth Group,NYSE,UNH,Healthcare,5.98%
Verizon Communications Inc.,NYSE,VZ,Fixed Line Telecommunications,1.50%
Visa Inc,NYSE,VZ,Credit Services,3.21%
Wal-Mart Stores Inc.,NYSE,WMT,Broadline Retailers,2.40%
Walt Disney Co.,NYSE,DIS,Broadcasting & Entertainment,3.03%
,,,,
As of October 2017,,,,
,,,,
Copyright © 2017 Money-zine.com,,,,
